"filename", "language", "C++", "CMake", "Dart", "JSON", "YAML", "Markdown", "Swift", "XML", "Properties", "HTML", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_detail\product_meta_data.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 3, 78
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_detail\rating_share_detail.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_detail\widgets\product.detail.image.silder.dart", "Dart", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 1, 6, 69
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_detail\widgets\sbottom.add.to.cart.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_reviews\product_reviews.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 3, 3, 41
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_reviews\rating_progress_indicator.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_reviews\user_review_card.dart", "Dart", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 1, 3, 107
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_reviews\widgets\progress_indicator_and_reviews.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 3, 39
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\store\store.dart", "Dart", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 3, 5, 105
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\sub_catogories\sub_categories.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"d:\Profesional Flutter project Structure\s_store\lib\firebase_options.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 12, 5, 75
"d:\Profesional Flutter project Structure\s_store\lib\main.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 4, 26
"d:\Profesional Flutter project Structure\s_store\lib\navigation_menu.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"d:\Profesional Flutter project Structure\s_store\lib\screens\Screen.onBoarding\login\login_screen.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 3, 43
"d:\Profesional Flutter project Structure\s_store\lib\screens\Screen.onBoarding\login\signup\widgets\signup.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Profesional Flutter project Structure\s_store\lib\screens\Screen.onBoarding\login\signup\widgets\verify_email.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 8, 5, 88
"d:\Profesional Flutter project Structure\s_store\lib\screens\Screen.onBoarding\login\widgets\login_form.dart", "Dart", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 4, 78
"d:\Profesional Flutter project Structure\s_store\lib\screens\Screen.onBoarding\login\widgets\login_header.dart", "Dart", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"d:\Profesional Flutter project Structure\s_store\lib\screens\Screen.onBoarding\onboarding.dart", "Dart", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 3, 3, 52
"d:\Profesional Flutter project Structure\s_store\lib\screens\Screen.onBoarding\widgets\Smooth_page_indicator.dart", "Dart", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"d:\Profesional Flutter project Structure\s_store\lib\screens\Screen.onBoarding\widgets\on_oarding_next.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\Profesional Flutter project Structure\s_store\lib\screens\Screen.onBoarding\widgets\onboarding_page.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 2, 3, 43
"d:\Profesional Flutter project Structure\s_store\lib\screens\Screen.onBoarding\widgets\onboarding_skip.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Profesional Flutter project Structure\s_store\lib\screens\password_configuration\forget_password.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 4, 57
"d:\Profesional Flutter project Structure\s_store\lib\screens\password_configuration\reset_password.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 4, 3, 59
"d:\Profesional Flutter project Structure\s_store\lib\screens\sign_up.widgets\sign_up.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 2, 3, 45
"d:\Profesional Flutter project Structure\s_store\lib\screens\sign_up.widgets\signup_form.dart", "Dart", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 6, 6, 149
"d:\Profesional Flutter project Structure\s_store\lib\screens\sign_up.widgets\terms.and.condition.checkbox.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 2, 63
"d:\Profesional Flutter project Structure\s_store\lib\utils\constants\api_constant.dart", "Dart", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Profesional Flutter project Structure\s_store\lib\utils\constants\colors.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 9, 11, 56
"d:\Profesional Flutter project Structure\s_store\lib\utils\constants\enums.dart", "Dart", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Profesional Flutter project Structure\s_store\lib\utils\constants\image_string.dart", "Dart", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 10, 3, 107
"d:\Profesional Flutter project Structure\s_store\lib\utils\constants\sizes.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 15, 9, 63
"d:\Profesional Flutter project Structure\s_store\lib\utils\constants\text_strings.dart", "Dart", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 7, 2, 65
"d:\Profesional Flutter project Structure\s_store\lib\utils\device\device_utilty.dart", "Dart", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 9, 25, 135
"d:\Profesional Flutter project Structure\s_store\lib\utils\exception\exceptions.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 4, 3, 57
"d:\Profesional Flutter project Structure\s_store\lib\utils\exception\firebase_auth_exception.dart", "Dart", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"d:\Profesional Flutter project Structure\s_store\lib\utils\exception\firebase_exceptions.dart", "Dart", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 4, 3, 101
"d:\Profesional Flutter project Structure\s_store\lib\utils\exception\format_exceptions.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 7, 5, 53
"d:\Profesional Flutter project Structure\s_store\lib\utils\exception\platform_exceptions.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 2, 3, 43
"d:\Profesional Flutter project Structure\s_store\lib\utils\formatters\formatter.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 13, 14, 87
"d:\Profesional Flutter project Structure\s_store\lib\utils\helpers\helper_functions.dart", "Dart", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 3, 10, 89
"d:\Profesional Flutter project Structure\s_store\lib\utils\popUp\full_screen_loader.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"d:\Profesional Flutter project Structure\s_store\lib\utils\popUp\loader.dart", "Dart", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 6, 82
